Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
758;21100797220;"Proceedings - 18th IEEE International Conference on High Performance Computing and Communications, 14th IEEE International Conference on Smart City and 2nd IEEE International Conference on Data Science and Systems, HPCC/SmartCity/DSS 2016";conference and proceedings;"-";0,280;-;9;0;216;0;299;212;1,41;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Computer Vision and Pattern Recognition; Education; Hardware and Architecture; Information Systems; Media Technology"
759;5900152751;"Art, Design & Communication in Higher Education";journal;"1474273X";0,279;Q3;5;16;47;404;24;41;0,60;25,25;United Kingdom;Western Europe;"Intellect Ltd.";"2012-2019";"Arts and Humanities (miscellaneous) (Q2); Communication (Q2); Education (Q3)"
760;145259;"International Education Journal";journal;"14431475";0,279;Q3;32;18;90;716;54;88;0,53;39,78;Australia;Pacific Region;"Flinders University";"1999-2008, 2011-2019";"Education (Q3)"
761;21100898630;"Journal of Special Education Leadership";journal;"15251810";0,279;Q3;1;12;12;356;5;8;0,63;29,67;United States;Northern America;"Council of Administrators of Special Education in conjunction";"2018-2019";"Developmental and Educational Psychology (Q3); Education (Q3); Public Administration (Q3)"
762;5800207571;"Support for Learning";journal;"02682141";0,279;Q3;28;29;79;876;38;67;0,37;30,21;United States;Northern America;"Wiley-Blackwell";"1986-2020";"Education (Q3)"
763;28883;"Zygon";journal;"05912385, 14679744";0,278;Q3;22;70;184;2441;71;171;0,54;34,87;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1966-2020";"Cultural Studies (Q1); Religious Studies (Q1); Education (Q3)"
764;21100228101;"International Journal of Pedagogies and Learning";journal;"18334105";0,277;Q3;8;0;24;0;18;20;0,00;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2016";"Education (Q3)"
765;21100220434;"Science of Gymnastics Journal";journal;"18557171";0,277;Q3;8;28;79;981;43;74;0,46;35,04;Slovenia;Eastern Europe;"Faculty of Sport, University of Ljubljana";"2012-2020";"Education (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)"
766;21100451148;"Bordon";journal;"02105934, 23406577";0,275;Q3;12;38;119;1732;72;115;0,37;45,58;Spain;Western Europe;"Sociedad Espanola de Pedagogia";"2011-2019";"Education (Q3); Developmental and Educational Psychology (Q4)"
767;17966;"International Journal of Electrical Engineering Education";journal;"20504578, 00207209";0,275;Q3;21;166;107;3771;144;76;2,38;22,72;United Kingdom;Western Europe;"SAGE Publications Inc.";"1963, 1965, 1967, 1969-1972, 1974-2020";"Education (Q3); Electrical and Electronic Engineering (Q3)"
